"mes_ano_nascimento";"Norte";"Nordeste";"Sudeste";"Região Sul";"Centro-Oeste";"Total"
"Janeiro/2009";26648;72111;95645;32333;18782;245519
"Fevereiro/2009";23469;66464;93223;30003;17977;231136
"Março/2009";27182;81857;106103;33719;20642;269503
"Abril/2009";26301;77398;101227;30901;19698;255525
"Maio/2009";25829;76873;94268;30345;18764;246079
"Junho/2009";25186;72751;90821;30096;17798;236652
"Julho/2009";25183;71058;92456;30789;17983;237469
"Agosto/2009";25681;70095;89770;30014;17201;232761
"Setembro/2009";27367;71976;96045;31579;18709;245676
"Outubro/2009";26543;70038;88682;29908;18017;233188
"Novembro/2009";25429;66871;82442;27341;17132;219215
"Dezembro/2009";25908;67606;88549;29330;17465;228858
"Janeiro/2010";25961;67462;96837;31604;18375;240239
"Fevereiro/2010";23391;64021;93858;30362;17653;229285
"Março/2010";27082;77704;107557;35240;20846;268429
"Abril/2010";25861;73527;97409;31817;19561;248175
"Maio/2010";25617;76086;99258;32827;19094;252882
"Junho/2010";24754;70995;94198;31760;18130;239837
"Julho/2010";25687;71740;94019;31652;18557;241655
"Agosto/2010";25438;70564;88063;29518;17659;231242
"Setembro/2010";26823;72359;89103;29431;18364;236080
"Outubro/2010";26997;69009;86921;28223;18005;229155
"Novembro/2010";24723;64227;84368;26720;16852;216890
"Dezembro/2010";24088;63466;92002;30751;17692;227999
"Janeiro/2011";25347;65727;98148;33072;19046;241340
"Fevereiro/2011";23103;63063;96202;31953;18262;232583
"Março/2011";26673;76877;110821;35425;21168;270964
"Abril/2011";26108;74492;100540;32959;20200;254299
"Maio/2011";27396;80717;105056;34101;20455;267725
"Junho/2011";25790;75704;97545;31882;19068;249989
"Julho/2011";25821;72277;96181;32399;18670;245348
"Agosto/2011";26634;69984;92956;31343;18706;239623
"Setembro/2011";26522;70462;87161;29886;17718;231749
"Outubro/2011";27250;69008;84643;27546;17890;226337
"Novembro/2011";26938;66721;84194;27396;17559;222808
"Dezembro/2011";26163;65972;90294;30131;17835;230395
"Janeiro/2012";26118;67935;94432;32273;18841;239599
"Fevereiro/2012";23924;66747;96389;31774;18971;237805
"Março/2012";25777;75188;109446;35215;21003;266629
"Abril/2012";25392;71094;99822;32373;19532;248213
"Maio/2012";25885;74953;102516;33820;20229;257403
"Junho/2012";24512;69810;95202;32181;18671;240376
"Julho/2012";25237;70168;96188;32229;19233;243055
"Agosto/2012";25854;67892;93657;31796;19183;238382
"Setembro/2012";25800;68094;92634;30523;18619;235670
"Outubro/2012";27272;68226;93843;30646;19394;239381
"Novembro/2012";26353;66319;86994;28301;17965;225932
"Dezembro/2012";26251;66205;91723;30527;18638;233344
"Janeiro/2013";26003;67755;97878;33979;19423;245038
"Fevereiro/2013";23434;62182;94139;31751;18351;229857
"Março/2013";26175;71756;102410;34323;20609;255273
"Abril/2013";26583;71556;103080;34633;20825;256677
"Maio/2013";27262;75776;104920;33739;21257;262954
"Junho/2013";25628;70692;95298;31534;19258;242410
"Julho/2013";26249;71220;96558;32550;19598;246175
"Agosto/2013";26153;68646;93512;31222;18903;238436
"Setembro/2013";27545;69374;90070;30397;19460;236846
"Outubro/2013";27418;67117;90983;31027;19497;236042
"Novembro/2013";25642;62455;86349;29646;18399;222491
"Dezembro/2013";25180;62929;92430;32182;19107;231828
"Janeiro/2014";25649;65293;101140;34773;20256;247111
"Fevereiro/2014";23940;63128;98145;32575;19403;237191
"Março/2014";26629;71657;104995;35316;21224;259821
"Abril/2014";26884;71996;104497;34564;21315;259256
"Maio/2014";27656;74803;105801;35184;21828;265272
"Junho/2014";26085;69614;99162;32797;20264;247922
"Julho/2014";27243;72016;101774;34215;20656;255904
"Agosto/2014";27177;69798;95171;32536;20034;244716
"Setembro/2014";28050;71499;95426;32720;20288;247983
"Outubro/2014";28029;69862;90327;29836;20154;238208
"Novembro/2014";27102;66219;88884;28834;19346;230385
"Dezembro/2014";27238;67205;97627;33112;20308;245490
"Janeiro/2015";27041;68620;102491;35314;20367;253833
"Fevereiro/2015";24326;64274;98086;33559;19462;239707
"Março/2015";26887;76602;113080;38207;22764;277540
"Abril/2015";26983;73594;105787;35445;21783;263592
"Maio/2015";27398;76060;107649;36041;21884;269032
"Junho/2015";26154;71823;100196;33872;20194;252239
"Julho/2015";26522;72208;99309;33877;20480;252396
"Agosto/2015";26814;69825;95846;32336;20145;244966
"Setembro/2015";27750;72397;96946;32714;21042;250849
"Outubro/2015";27877;70242;90923;31197;19706;239945
"Novembro/2015";26529;65310;88873;30631;19329;230672
"Dezembro/2015";26643;65419;97046;33336;20453;242897
"Janeiro/2016";26181;65592;99579;34998;20038;246388
"Fevereiro/2016";24748;64163;98122;34237;19863;241133
"Março/2016";26099;73660;108641;36545;22304;267249
"Abril/2016";25884;71977;103121;34517;21253;256752
"Maio/2016";26006;75256;104504;35048;21599;262413
"Junho/2016";25271;70774;97024;33244;20009;246322
"Julho/2016";25392;70421;93212;32820;19349;241194
"Agosto/2016";26020;65710;89345;32266;18742;232083
"Setembro/2016";26387;63320;87071;31069;18658;226505
"Outubro/2016";25841;60926;83239;28927;18085;217018
"Novembro/2016";24627;56182;78502;27795;16968;204074
"Dezembro/2016";25070;58138;85139;30324;17998;216669
"Janeiro/2017";24935;61486;89513;31561;18919;226414
"Fevereiro/2017";22704;59122;91151;31881;18657;223515
"Março/2017";26744;71268;108061;38296;22596;266965
"Abril/2017";25773;70075;101052;34947;21094;252941
"Maio/2017";27287;75982;107297;36999;22212;269777
"Junho/2017";26228;71779;100740;35028;21033;254808
"Julho/2017";26026;70050;98242;33898;20792;249008
"Agosto/2017";26526;69717;94783;33116;20466;244608
"Setembro/2017";27061;67615;91626;31422;19920;237644
"Outubro/2017";27188;68375;88715;29867;19781;233926
"Novembro/2017";26237;65814;88805;29375;19347;229578
"Dezembro/2017";25973;66028;91847;31214;19289;234351
"Janeiro/2018";26064;67816;99906;34686;20263;248735
"Fevereiro/2018";23095;63020;93885;31444;18905;230349
"Março/2018";26333;74323;105401;35915;22370;264342
"Abril/2018";27040;74860;103211;34903;22412;262426
"Maio/2018";27421;77265;106071;35790;22177;268724
"Junho/2018";25427;71174;96105;32563;20339;245608
"Julho/2018";26846;70192;95502;33431;20734;246705
"Agosto/2018";27380;69029;93978;32944;20630;243961
"Setembro/2018";27750;67699;90237;31467;19890;237043
"Outubro/2018";28339;69458;88595;31167;19931;237490
"Novembro/2018";26907;65541;86715;30308;19097;228568
"Dezembro/2018";26626;66473;87400;31239;19243;230981
"Janeiro/2019";26603;68970;96542;33007;20926;246048
"Fevereiro/2019";23996;64357;92810;31818;19798;232779
"Março/2019";26887;72731;100942;35020;22291;257871
"Abril/2019";26313;70454;97942;34009;21446;250164
"Maio/2019";26709;72251;100837;35680;21591;257068
"Junho/2019";24782;67365;92265;32186;19762;236360
"Julho/2019";25558;68601;92912;33395;20024;240490
"Agosto/2019";26445;65895;90108;31817;19552;233817
"Setembro/2019";28027;66853;88188;30854;19367;233289
"Outubro/2019";27511;65878;83963;28631;19189;225172
"Novembro/2019";25473;60622;81287;28718;18354;214454
"Dezembro/2019";25392;61298;85201;30962;18781;221634